step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
523.0,0.0,4623764.68,4623764.68,0.0,0.0,4623764.68,0.0,1
487.0,0.0,367980.99,367980.99,0.0,38222.61,406203.6,0.0,1
715.0,1.0,621080.67,621080.67,0.0,0.0,0.0,0.0,1
579.0,1.0,3085336.66,3085336.66,0.0,0.0,0.0,0.0,1
146.0,0.0,489714.94,489714.94,0.0,302738.43,792453.38,0.0,1
186.0,1.0,304472.46,304472.46,0.0,0.0,0.0,0.0,1
71.0,0.0,1871553.73,1871553.73,0.0,0.0,1871553.73,0.0,1
377.0,1.0,434006.52,434006.52,0.0,0.0,0.0,0.0,1
311.0,1.0,1275236.3,1275236.3,0.0,0.0,0.0,0.0,1
674.0,0.0,64083.54,64083.54,0.0,0.0,64083.54,0.0,1
450.0,0.0,146061.11,146061.11,0.0,37501.29,183562.4,0.0,1
436.0,1.0,1532229.72,1532229.72,0.0,0.0,0.0,0.0,1
133.0,0.0,212130.67,212130.67,0.0,1542937.19,2133644.57,0.0,1
447.0,1.0,155121.58,155121.58,0.0,0.0,0.0,0.0,1
350.0,0.0,915672.67,915672.67,0.0,999821.05,1915493.72,0.0,1
390.0,1.0,4525901.25,4525901.25,0.0,0.0,0.0,0.0,1
409.0,1.0,71921.7,71921.7,0.0,0.0,0.0,0.0,1
128.0,1.0,138993.63,138993.63,0.0,0.0,0.0,0.0,1
150.0,1.0,67653.75,67653.75,0.0,0.0,0.0,0.0,1
447.0,0.0,155121.58,155121.58,0.0,439557.76,594679.34,0.0,1
731.0,0.0,429359.76,429359.76,0.0,1973585.31,2402945.07,0.0,1
400.0,0.0,436757.76,436757.76,0.0,0.0,436757.76,0.0,1
521.0,1.0,27483.79,27483.79,0.0,0.0,0.0,0.0,1
677.0,0.0,10000000.0,10000000.0,0.0,1622330.57,11622330.57,0.0,1
326.0,0.0,424962.9,424962.9,0.0,322327.23,747290.13,0.0,1
628.0,0.0,385207.12,385207.12,0.0,0.0,385207.12,0.0,1
427.0,0.0,3890627.92,3890627.92,0.0,0.0,3890627.92,0.0,1
730.0,1.0,3191058.32,3191058.32,0.0,0.0,0.0,0.0,1
40.0,1.0,20314.97,20314.97,0.0,0.0,0.0,0.0,1
361.0,0.0,140807.76,140807.76,0.0,137903.3,278711.05,0.0,1
141.0,1.0,455372.54,455372.54,0.0,0.0,0.0,0.0,1
250.0,1.0,213463.32,213463.32,0.0,0.0,0.0,0.0,1
264.0,1.0,7304.56,7304.56,0.0,0.0,0.0,0.0,1
346.0,1.0,180110.22,180110.22,0.0,0.0,0.0,0.0,1
610.0,1.0,33964.87,33964.87,0.0,0.0,0.0,0.0,1
244.0,0.0,2424380.16,2424380.16,0.0,509474.11,2933854.27,0.0,1
578.0,0.0,6274752.67,6274752.67,0.0,0.0,6274752.67,0.0,1
467.0,0.0,144283.42,144283.42,0.0,0.0,144283.42,0.0,1
650.0,0.0,71666.93,71666.93,0.0,83551.03,155217.96,0.0,1
74.0,0.0,74177.92,74177.92,0.0,79018.51,153196.43,0.0,1
333.0,0.0,2070939.88,2070939.88,0.0,22160714.25,24231654.14,0.0,1
710.0,1.0,23134.17,23134.17,0.0,0.0,0.0,0.0,1
